JobID,Title,ExperienceLevel,YearsOfExperience,Skills,Responsibilities,Keywords,text,clean
NET-E-011,.NET Developer,Experienced,3+,C#; .NET Core; ASP.NET MVC; SQL Server; Entity Framework; REST APIs; Docker; Azure,Design and develop advanced .NET applications; Implement microservices with ASP.NET Core; Manage SQL Server database performance; Develop REST APIs; Deploy applications using Docker; Integrate with Azure cloud services,.NET Core; C#; ASP.NET MVC; Microservices; Azure; Entity Framework; REST APIs; Docker,.NET Developer C#; .NET Core; ASP.NET MVC; SQL Server; Entity Framework; REST APIs; Docker; Azure Design and develop advanced .NET applications; Implement microservices with ASP.NET Core; Manage SQL Server database performance; Develop REST APIs; Deploy applications using Docker; Integrate with Azure cloud services .NET Core; C#; ASP.NET MVC; Microservices; Azure; Entity Framework; REST APIs; Docker,.net developer c#; .net core; asp.net mvc; sql server; entity framework; rest apis; docker; azure design and develop advanced .net applications; implement microservices with asp.net core; manage sql server database performance; develop rest apis; deploy applications using docker; integrate with azure cloud services .net core; c#; asp.net mvc; microservices; azure; entity framework; rest apis; docker
NET-E-012,.NET Developer,Experienced,4+,C#; ASP.NET Core; SQL Server; Entity Framework; Design Patterns; SOLID Principles; Azure DevOps,Architect scalable .NET Core solutions; Implement design patterns in projects; Lead database optimization efforts; Manage CI/CD pipelines with Azure DevOps; Collaborate with cross-functional teams,.NET Core; C#; ASP.NET MVC; SOLID; Azure DevOps; Entity Framework,.NET Developer C#; ASP.NET Core; SQL Server; Entity Framework; Design Patterns; SOLID Principles; Azure DevOps Architect scalable .NET Core solutions; Implement design patterns in projects; Lead database optimization efforts; Manage CI/CD pipelines with Azure DevOps; Collaborate with cross-functional teams .NET Core; C#; ASP.NET MVC; SOLID; Azure DevOps; Entity Framework,.net developer c#; asp.net core; sql server; entity framework; design patterns; solid principles; azure devops architect scalable .net core solutions; implement design patterns in projects; lead database optimization efforts; manage ci/cd pipelines with azure devops; collaborate with cross-functional teams .net core; c#; asp.net mvc; solid; azure devops; entity framework
NET-E-013,.NET Developer,Experienced,5+,C#; F#; .NET Core; ASP.NET MVC; Microservices; Docker; Kubernetes; Azure,Develop microservices architecture; Work with Docker and Kubernetes for deployment; Integrate with Azure services; Lead junior developers; Optimize application performance,.NET Core; C#; Microservices; Docker; Kubernetes; Azure,.NET Developer C#; F#; .NET Core; ASP.NET MVC; Microservices; Docker; Kubernetes; Azure Develop microservices architecture; Work with Docker and Kubernetes for deployment; Integrate with Azure services; Lead junior developers; Optimize application performance .NET Core; C#; Microservices; Docker; Kubernetes; Azure,.net developer c#; f#; .net core; asp.net mvc; microservices; docker; kubernetes; azure develop microservices architecture; work with docker and kubernetes for deployment; integrate with azure services; lead junior developers; optimize application performance .net core; c#; microservices; docker; kubernetes; azure
NET-E-014,.NET Developer,Experienced,3+,C#; ASP.NET Core; WebAPI; SignalR; SQL Server; NoSQL; Entity Framework,Develop RESTful APIs and real-time apps; Implement SignalR for live communication; Work with SQL Server and NoSQL databases; Lead module development; Ensure application scalability,.NET Core; C#; ASP.NET MVC; WebAPI; SignalR; Entity Framework,.NET Developer C#; ASP.NET Core; WebAPI; SignalR; SQL Server; NoSQL; Entity Framework Develop RESTful APIs and real-time apps; Implement SignalR for live communication; Work with SQL Server and NoSQL databases; Lead module development; Ensure application scalability .NET Core; C#; ASP.NET MVC; WebAPI; SignalR; Entity Framework,.net developer c#; asp.net core; webapi; signalr; sql server; nosql; entity framework develop restful apis and real-time apps; implement signalr for live communication; work with sql server and nosql databases; lead module development; ensure application scalability .net core; c#; asp.net mvc; webapi; signalr; entity framework
NET-E-015,.NET Developer,Experienced,5+,C#; .NET Core; ASP.NET MVC; Blazor; Angular; SQL Server; Dapper,Develop front-end with Blazor/Angular; Implement repository pattern with Dapper; Optimize SQL Server queries; Enhance UI/UX for applications; Mentor junior team members,.NET Core; C#; ASP.NET MVC; Blazor; Angular; SQL Server; Dapper,.NET Developer C#; .NET Core; ASP.NET MVC; Blazor; Angular; SQL Server; Dapper Develop front-end with Blazor/Angular; Implement repository pattern with Dapper; Optimize SQL Server queries; Enhance UI/UX for applications; Mentor junior team members .NET Core; C#; ASP.NET MVC; Blazor; Angular; SQL Server; Dapper,.net developer c#; .net core; asp.net mvc; blazor; angular; sql server; dapper develop front-end with blazor/angular; implement repository pattern with dapper; optimize sql server queries; enhance ui/ux for applications; mentor junior team members .net core; c#; asp.net mvc; blazor; angular; sql server; dapper
NET-E-016,.NET Developer,Experienced,4+,C#; .NET Core; ASP.NET MVC; REST APIs; Docker; Azure DevOps; Testing with NUnit,Develop and maintain microservices; Create CI/CD pipelines; Ensure testing coverage with NUnit; Deploy apps with Docker; Collaborate with QA team,.NET Core; C#; ASP.NET MVC; REST APIs; Docker; Azure DevOps; NUnit,.NET Developer C#; .NET Core; ASP.NET MVC; REST APIs; Docker; Azure DevOps; Testing with NUnit Develop and maintain microservices; Create CI/CD pipelines; Ensure testing coverage with NUnit; Deploy apps with Docker; Collaborate with QA team .NET Core; C#; ASP.NET MVC; REST APIs; Docker; Azure DevOps; NUnit,.net developer c#; .net core; asp.net mvc; rest apis; docker; azure devops; testing with nunit develop and maintain microservices; create ci/cd pipelines; ensure testing coverage with nunit; deploy apps with docker; collaborate with qa team .net core; c#; asp.net mvc; rest apis; docker; azure devops; nunit
NET-E-017,.NET Developer,Experienced,3+,C#; ASP.NET Core; WebAPI; gRPC; SQL Server; Azure,Build RESTful and gRPC APIs; Integrate services with Azure; Design database schemas; Monitor system performance; Provide technical leadership,.NET Core; C#; WebAPI; gRPC; SQL Server; Azure,.NET Developer C#; ASP.NET Core; WebAPI; gRPC; SQL Server; Azure Build RESTful and gRPC APIs; Integrate services with Azure; Design database schemas; Monitor system performance; Provide technical leadership .NET Core; C#; WebAPI; gRPC; SQL Server; Azure,.net developer c#; asp.net core; webapi; grpc; sql server; azure build restful and grpc apis; integrate services with azure; design database schemas; monitor system performance; provide technical leadership .net core; c#; webapi; grpc; sql server; azure
NET-E-018,.NET Developer,Experienced,5+,C#; ASP.NET Core; Microservices; Kubernetes; Entity Framework; Azure; SOLID Principles,Design and manage microservices architecture; Deploy apps on Kubernetes clusters; Ensure best practices with SOLID principles; Lead development sprints; Coordinate with product teams,.NET Core; C#; Microservices; Kubernetes; Entity Framework; Azure; SOLID,.NET Developer C#; ASP.NET Core; Microservices; Kubernetes; Entity Framework; Azure; SOLID Principles Design and manage microservices architecture; Deploy apps on Kubernetes clusters; Ensure best practices with SOLID principles; Lead development sprints; Coordinate with product teams .NET Core; C#; Microservices; Kubernetes; Entity Framework; Azure; SOLID,.net developer c#; asp.net core; microservices; kubernetes; entity framework; azure; solid principles design and manage microservices architecture; deploy apps on kubernetes clusters; ensure best practices with solid principles; lead development sprints; coordinate with product teams .net core; c#; microservices; kubernetes; entity framework; azure; solid
NET-E-019,.NET Developer,Experienced,4+,C#; .NET Core; ASP.NET MVC; Testing with xUnit; Moq; Azure,Implement automated unit tests; Use Moq for dependency testing; Develop scalable apps in .NET Core; Lead code review sessions; Optimize app performance,.NET Core; C#; ASP.NET MVC; xUnit; Moq; Azure,.NET Developer C#; .NET Core; ASP.NET MVC; Testing with xUnit; Moq; Azure Implement automated unit tests; Use Moq for dependency testing; Develop scalable apps in .NET Core; Lead code review sessions; Optimize app performance .NET Core; C#; ASP.NET MVC; xUnit; Moq; Azure,.net developer c#; .net core; asp.net mvc; testing with xunit; moq; azure implement automated unit tests; use moq for dependency testing; develop scalable apps in .net core; lead code review sessions; optimize app performance .net core; c#; asp.net mvc; xunit; moq; azure
NET-E-020,.NET Developer,Experienced,5+,C#; .NET Core; ASP.NET MVC; CI/CD; Azure DevOps; Docker; Kubernetes; REST APIs,Lead CI/CD setup in Azure DevOps; Deploy services with Docker/Kubernetes; Architect scalable .NET applications; Coordinate with cross-functional teams; Mentor juniors,.NET Core; C#; ASP.NET MVC; CI/CD; Azure DevOps; Docker; Kubernetes; REST APIs,.NET Developer C#; .NET Core; ASP.NET MVC; CI/CD; Azure DevOps; Docker; Kubernetes; REST APIs Lead CI/CD setup in Azure DevOps; Deploy services with Docker/Kubernetes; Architect scalable .NET applications; Coordinate with cross-functional teams; Mentor juniors .NET Core; C#; ASP.NET MVC; CI/CD; Azure DevOps; Docker; Kubernetes; REST APIs,.net developer c#; .net core; asp.net mvc; ci/cd; azure devops; docker; kubernetes; rest apis lead ci/cd setup in azure devops; deploy services with docker/kubernetes; architect scalable .net applications; coordinate with cross-functional teams; mentor juniors .net core; c#; asp.net mvc; ci/cd; azure devops; docker; kubernetes; rest apis
AI001,AI Engineer - Fresher,Entry-Level,0–1 year,Python; Java; C++; R; Supervised/Unsupervised Learning; Regression; Classification; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB; NoSQL,Assist in developing AI models; Preprocess data; Implement basic ML algorithms; Participate in hackathons and academic projects,AI; ML; Fresher; Entry-Level; Python; Deep Learning; TensorFlow; PyTorch,AI Engineer - Fresher Python; Java; C++; R; Supervised/Unsupervised Learning; Regression; Classification; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB; NoSQL Assist in developing AI models; Preprocess data; Implement basic ML algorithms; Participate in hackathons and academic projects AI; ML; Fresher; Entry-Level; Python; Deep Learning; TensorFlow; PyTorch,ai engineer - fresher python; java; c++; r; supervised/unsupervised learning; regression; classification; clustering; tensorflow; pytorch; keras; scikit-learn; neural networks; opencv; nltk; pandas; numpy; sql; mongodb; nosql assist in developing ai models; preprocess data; implement basic ml algorithms; participate in hackathons and academic projects ai; ml; fresher; entry-level; python; deep learning; tensorflow; pytorch
AI002,AI Engineer - Fresher,Entry-Level,0–1 year,Python; Java; C++; R; Classification; Regression; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB,Build simple AI models; Preprocess datasets; Implement basic ML pipelines; Work collaboratively on projects,AI; ML; Fresher; Entry-Level; Python; TensorFlow; PyTorch,AI Engineer - Fresher Python; Java; C++; R; Classification; Regression; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB Build simple AI models; Preprocess datasets; Implement basic ML pipelines; Work collaboratively on projects AI; ML; Fresher; Entry-Level; Python; TensorFlow; PyTorch,ai engineer - fresher python; java; c++; r; classification; regression; clustering; tensorflow; pytorch; keras; scikit-learn; neural networks; opencv; nltk; pandas; numpy; sql; mongodb build simple ai models; preprocess datasets; implement basic ml pipelines; work collaboratively on projects ai; ml; fresher; entry-level; python; tensorflow; pytorch
AI003,AI Engineer - Fresher,Entry-Level,0–1 year,Python; Java; C++; R; Supervised/Unsupervised Learning; Regression; Classification; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB,Support AI development; Create and test ML models; Perform data preprocessing and feature engineering; Collaborate with mentors,AI; ML; Fresher; Entry-Level; Python; Deep Learning; TensorFlow; PyTorch,AI Engineer - Fresher Python; Java; C++; R; Supervised/Unsupervised Learning; Regression; Classification; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB Support AI development; Create and test ML models; Perform data preprocessing and feature engineering; Collaborate with mentors AI; ML; Fresher; Entry-Level; Python; Deep Learning; TensorFlow; PyTorch,ai engineer - fresher python; java; c++; r; supervised/unsupervised learning; regression; classification; clustering; tensorflow; pytorch; keras; scikit-learn; neural networks; opencv; nltk; pandas; numpy; sql; mongodb support ai development; create and test ml models; perform data preprocessing and feature engineering; collaborate with mentors ai; ml; fresher; entry-level; python; deep learning; tensorflow; pytorch
AI004,AI Engineer - Fresher,Entry-Level,0–1 year,Python; Java; C++; R; Classification; Regression; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB,Implement basic AI/ML models; Assist with data preprocessing and visualization; Participate in small projects or hackathons,AI; ML; Fresher; Entry-Level; Python; TensorFlow; PyTorch,AI Engineer - Fresher Python; Java; C++; R; Classification; Regression; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB Implement basic AI/ML models; Assist with data preprocessing and visualization; Participate in small projects or hackathons AI; ML; Fresher; Entry-Level; Python; TensorFlow; PyTorch,ai engineer - fresher python; java; c++; r; classification; regression; clustering; tensorflow; pytorch; keras; scikit-learn; neural networks; opencv; nltk; pandas; numpy; sql; mongodb implement basic ai/ml models; assist with data preprocessing and visualization; participate in small projects or hackathons ai; ml; fresher; entry-level; python; tensorflow; pytorch
AI005,AI Engineer - Fresher,Entry-Level,0–1 year,Python; Java; C++; R; Supervised/Unsupervised Learning; Regression; Classification; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB,Assist in AI model development; Data cleaning; Implement basic neural networks; Collaborate on academic or hackathon projects,AI; ML; Fresher; Entry-Level; Python; TensorFlow; Deep Learning,AI Engineer - Fresher Python; Java; C++; R; Supervised/Unsupervised Learning; Regression; Classification; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB Assist in AI model development; Data cleaning; Implement basic neural networks; Collaborate on academic or hackathon projects AI; ML; Fresher; Entry-Level; Python; TensorFlow; Deep Learning,ai engineer - fresher python; java; c++; r; supervised/unsupervised learning; regression; classification; clustering; tensorflow; pytorch; keras; scikit-learn; neural networks; opencv; nltk; pandas; numpy; sql; mongodb assist in ai model development; data cleaning; implement basic neural networks; collaborate on academic or hackathon projects ai; ml; fresher; entry-level; python; tensorflow; deep learning
AI006,AI Engineer - Fresher,Entry-Level,0–1 year,Python; Java; C++; R; Classification; Regression; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB,Build and train basic AI models; Preprocess datasets; Implement feature engineering techniques; Collaborate in small teams,AI; ML; Fresher; Entry-Level; Python; TensorFlow; PyTorch,AI Engineer - Fresher Python; Java; C++; R; Classification; Regression; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB Build and train basic AI models; Preprocess datasets; Implement feature engineering techniques; Collaborate in small teams AI; ML; Fresher; Entry-Level; Python; TensorFlow; PyTorch,ai engineer - fresher python; java; c++; r; classification; regression; clustering; tensorflow; pytorch; keras; scikit-learn; neural networks; opencv; nltk; pandas; numpy; sql; mongodb build and train basic ai models; preprocess datasets; implement feature engineering techniques; collaborate in small teams ai; ml; fresher; entry-level; python; tensorflow; pytorch
AI007,AI Engineer - Fresher,Entry-Level,0–1 year,Python; Java; C++; R; Supervised/Unsupervised Learning; Regression; Classification; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB,Assist in developing AI pipelines; Train basic ML/DL models; Preprocess data; Participate in hackathons or academic projects,AI; ML; Fresher; Entry-Level; Python; TensorFlow; Deep Learning,AI Engineer - Fresher Python; Java; C++; R; Supervised/Unsupervised Learning; Regression; Classification; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB Assist in developing AI pipelines; Train basic ML/DL models; Preprocess data; Participate in hackathons or academic projects AI; ML; Fresher; Entry-Level; Python; TensorFlow; Deep Learning,ai engineer - fresher python; java; c++; r; supervised/unsupervised learning; regression; classification; clustering; tensorflow; pytorch; keras; scikit-learn; neural networks; opencv; nltk; pandas; numpy; sql; mongodb assist in developing ai pipelines; train basic ml/dl models; preprocess data; participate in hackathons or academic projects ai; ml; fresher; entry-level; python; tensorflow; deep learning
AI008,AI Engineer - Fresher,Entry-Level,0–1 year,Python; Java; C++; R; Classification; Regression; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB,"Implement and test ML/AI models; Clean and preprocess data; Contribute to academic, hobby, or hackathon projects",AI; ML; Fresher; Entry-Level; Python; TensorFlow; PyTorch,"AI Engineer - Fresher Python; Java; C++; R; Classification; Regression; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB Implement and test ML/AI models; Clean and preprocess data; Contribute to academic, hobby, or hackathon projects AI; ML; Fresher; Entry-Level; Python; TensorFlow; PyTorch","ai engineer - fresher python; java; c++; r; classification; regression; clustering; tensorflow; pytorch; keras; scikit-learn; neural networks; opencv; nltk; pandas; numpy; sql; mongodb implement and test ml/ai models; clean and preprocess data; contribute to academic, hobby, or hackathon projects ai; ml; fresher; entry-level; python; tensorflow; pytorch"
AI009,AI Engineer - Fresher,Entry-Level,0–1 year,Python; Java; C++; R; Supervised/Unsupervised Learning; Regression; Classification; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB,Support development of AI projects; Preprocess datasets; Build basic ML/DL models; Participate in collaborative projects and hackathons,AI; ML; Fresher; Entry-Level; Python; TensorFlow; Deep Learning,AI Engineer - Fresher Python; Java; C++; R; Supervised/Unsupervised Learning; Regression; Classification; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB Support development of AI projects; Preprocess datasets; Build basic ML/DL models; Participate in collaborative projects and hackathons AI; ML; Fresher; Entry-Level; Python; TensorFlow; Deep Learning,ai engineer - fresher python; java; c++; r; supervised/unsupervised learning; regression; classification; clustering; tensorflow; pytorch; keras; scikit-learn; neural networks; opencv; nltk; pandas; numpy; sql; mongodb support development of ai projects; preprocess datasets; build basic ml/dl models; participate in collaborative projects and hackathons ai; ml; fresher; entry-level; python; tensorflow; deep learning
